INPUT,OUTPUT,helper
1.2,4.1368,7596
1.201,4.1368,7595
1.1999,4.1368,7594
1.202,4.1368,7593
1.2022,4.1368,7592
1.2017,4.137,7591
1.2031,4.1368,7590
1.2037,4.137,7589
1.2033,4.137,7588
1.2048,4.1369,7587
1.2046,4.137,7586
1.2055,4.1368,7585
1.2064,4.1368,7584
1.2061,4.1368,7583
1.207,4.1368,7582
1.2078,4.1367,7581
1.2082,4.1369,7580
1.2082,4.1367,7579
1.2089,4.1368,7578
1.2096,4.1368,7577
1.2096,4.1368,7576
1.2103,4.1368,7575
1.2112,4.1368,7574
1.2112,4.1367,7573
1.2124,4.1368,7572
1.2121,4.1367,7571
1.2124,4.1367,7570
1.2142,4.1366,7569
1.2135,4.1366,7568
1.2139,4.1367,7567
1.2157,4.1368,7566
1.2143,4.1368,7565
1.2156,4.1369,7564
1.2169,4.1369,7563
1.2164,4.1368,7562
1.2174,4.1368,7561
1.2185,4.1368,7560
1.2176,4.1368,7559
1.2199,4.1368,7558
1.2188,4.1368,7557
1.2192,4.1367,7556
1.2216,4.1368,7555
1.2203,4.1367,7554
1.2204,4.1367,7553
1.2231,4.1367,7552
1.2212,4.1366,7551
1.2228,4.1367,7550
1.2241,4.1368,7549
1.2229,4.1365,7548
1.2242,4.1366,7547
1.2257,4.1367,7546
1.2248,4.1366,7545
1.2271,4.1365,7544
1.2256,4.1365,7543
1.2258,4.1365,7542
1.2285,4.1365,7541
1.2271,4.1365,7540
1.2277,4.1365,7539
1.2302,4.1365,7538
1.2277,4.1366,7537
1.2297,4.1365,7536
1.2318,4.1366,7535
1.2296,4.1365,7534
1.2312,4.1365,7533
1.2327,4.1365,7532
1.2314,4.1364,7531
1.2341,4.1365,7530
1.2327,4.1365,7529
1.2334,4.1365,7528
1.2356,4.1365,7527
1.2343,4.1366,7526
1.2344,4.1364,7525
1.2371,4.1365,7524
1.2354,4.1365,7523
1.2368,4.1363,7522
1.2385,4.1364,7521
1.2367,4.1362,7520
1.2383,4.1364,7519
1.2394,4.1362,7518
1.239,4.1361,7517
1.2407,4.1362,7516
1.24,4.1361,7515
1.2402,4.1362,7514
1.2421,4.1363,7513
1.2417,4.1362,7512
1.2421,4.1362,7511
1.2436,4.1361,7510
1.2428,4.1361,7509
1.2439,4.136,7508
1.245,4.1361,7507
1.2445,4.136,7506
1.2455,4.136,7505
1.2462,4.1361,7504
1.2463,4.136,7503
1.2476,4.1361,7502
1.2475,4.136,7501
1.2481,4.136,7500
1.2483,4.1358,7499
1.2491,4.1359,7498
1.25,4.1358,7497
1.2494,4.136,7496
1.2506,4.1359,7495
1.2512,4.1358,7494
1.2506,4.1358,7493
1.2525,4.1358,7492
1.2527,4.1359,7491
1.2519,4.1357,7490
1.2536,4.1358,7489
1.2533,4.1358,7488
1.2544,4.1358,7487
1.2556,4.1359,7486
1.2547,4.1358,7485
1.2559,4.1358,7484
1.2571,4.1358,7483
1.2556,4.1357,7482
1.2581,4.1358,7481
1.2583,4.1357,7480
1.257,4.1358,7479
1.2593,4.1358,7478
1.2598,4.1358,7477
1.2586,4.1358,7476
1.2612,4.1358,7475
1.26,4.1358,7474
1.2613,4.1358,7473
1.2623,4.1357,7472
1.2615,4.1355,7471
1.263,4.1355,7470
1.2648,4.1354,7469
1.2623,4.1354,7468
1.2649,4.1355,7467
1.2654,4.1354,7466
1.2638,4.1355,7465
1.267,4.1358,7464
1.267,4.1355,7463
1.2656,4.1356,7462
1.2678,4.1354,7461
1.267,4.1354,7460
1.2684,4.1354,7459
1.2698,4.1354,7458
1.2685,4.1354,7457
1.2699,4.1354,7456
1.2716,4.1355,7455
1.2694,4.1355,7454
1.2723,4.1354,7453
1.2724,4.1355,7452
1.271,4.1355,7451
1.2735,4.1356,7450
1.274,4.1354,7449
1.2727,4.1353,7448
1.2753,4.1352,7447
1.2741,4.1354,7446
1.2753,4.1353,7445
1.2762,4.1353,7444
1.2755,4.1354,7443
1.2769,4.1354,7442
1.2784,4.1352,7441
1.2768,4.1354,7440
1.2784,4.1353,7439
1.2797,4.1353,7438
1.2785,4.1351,7437
1.2805,4.1352,7436
1.2809,4.1351,7435
1.2802,4.1352,7434
1.2816,4.135,7433
1.2822,4.1351,7432
1.2818,4.1351,7431
1.2833,4.1349,7430
1.2831,4.1352,7429
1.2841,4.1352,7428
1.2848,4.1351,7427
1.2847,4.1351,7426
1.2869,4.1353,7425
1.2859,4.135,7424
1.2868,4.135,7423
1.2867,4.135,7422
1.2874,4.135,7421
1.2884,4.1349,7420
1.288,4.1349,7419
1.289,4.135,7418
1.2898,4.135,7417
1.2898,4.1351,7416
1.291,4.1349,7415
1.2905,4.135,7414
1.2909,4.1348,7413
1.2929,4.1349,7412
1.292,4.1347,7411
1.2926,4.1347,7410
1.2944,4.1346,7409
1.2927,4.1348,7408
1.2942,4.1346,7407
1.2955,4.1347,7406
1.295,4.1348,7405
1.2956,4.1347,7404
1.297,4.1348,7403
1.2962,4.1347,7402
1.2985,4.1347,7401
1.2972,4.1347,7400
1.2978,4.1346,7399
1.3002,4.1347,7398
1.2987,4.1347,7397
1.2989,4.1344,7396
1.3018,4.1345,7395
1.2997,4.1345,7394
1.3012,4.1345,7393
1.3026,4.1347,7392
1.3014,4.1347,7391
1.3027,4.1347,7390
1.3041,4.1347,7389
1.3035,4.1346,7388
1.3059,4.1344,7387
1.3042,4.1346,7386
1.3043,4.1345,7385
1.3073,4.1345,7384
1.3058,4.1347,7383
1.3062,4.1345,7382
1.3088,4.1343,7381
1.3062,4.1344,7380
1.3083,4.1343,7379
1.3097,4.1343,7378
1.3088,4.1343,7377
1.3098,4.1343,7376
1.3112,4.1343,7375
1.3101,4.1343,7374
1.3127,4.1342,7373
1.3112,4.1341,7372
1.3118,4.1342,7371
1.3141,4.1341,7370
1.3128,4.1343,7369
1.313,4.1343,7368
1.3155,4.1343,7367
1.3141,4.1343,7366
1.3153,4.1343,7365
1.3165,4.1342,7364
1.3157,4.1342,7363
1.3169,4.1342,7362
1.318,4.1341,7361
1.3177,4.1343,7360
1.3193,4.1342,7359
1.3185,4.134,7358
1.3189,4.134,7357
1.3208,4.1341,7356
1.3201,4.134,7355
1.3207,4.134,7354
1.3222,4.134,7353
1.3215,4.1341,7352
1.3226,4.1339,7351
1.3233,4.134,7350
1.3235,4.134,7349
1.324,4.1338,7348
1.3254,4.1339,7347
1.3252,4.1338,7346
1.3254,4.134,7345
1.326,4.1338,7344
1.3268,4.1337,7343
1.3266,4.1337,7342
1.3276,4.1337,7341
1.3287,4.1336,7340
1.3278,4.1336,7339
1.3292,4.1336,7338
1.3298,4.1336,7337
1.3293,4.1335,7336
1.331,4.1336,7335
1.3313,4.1335,7334
1.3305,4.1334,7333
1.3322,4.1333,7332
1.3318,4.1333,7331
1.3329,4.1335,7330
1.3341,4.1336,7329
1.3333,4.1335,7328
1.3344,4.1335,7327
1.3358,4.1334,7326
1.3342,4.1332,7325
1.3369,4.1332,7324
1.3369,4.1333,7323
1.3356,4.1333,7322
1.3379,4.1332,7321
1.3384,4.133,7320
1.3372,4.1332,7319
1.3397,4.1331,7318
1.3383,4.1331,7317
1.3399,4.1333,7316
1.3408,4.1331,7315
1.3401,4.1331,7314
1.3415,4.133,7313
1.3435,4.1329,7312
1.3408,4.1328,7311
1.3434,4.1328,7310
1.344,4.1328,7309
1.3424,4.1326,7308
1.3454,4.1329,7307
1.3456,4.1329,7306
1.344,4.1328,7305
1.3464,4.1329,7304
1.3455,4.1327,7303
1.3469,4.1327,7302
1.3483,4.1326,7301
1.347,4.1325,7300
1.3485,4.1324,7299
1.3498,4.1325,7298
1.3481,4.1323,7297
1.3509,4.1325,7296
1.3508,4.1324,7295
1.3495,4.1325,7294
1.3519,4.1322,7293
1.3525,4.1323,7292
1.3511,4.1324,7291
1.3535,4.1323,7290
1.3527,4.1323,7289
1.3539,4.1322,7288
1.3548,4.1322,7287
1.3542,4.132,7286
1.3554,4.1322,7285
1.3569,4.1321,7284
1.3554,4.1321,7283
1.3573,4.132,7282
1.3579,4.132,7281
1.3571,4.1319,7280
1.359,4.132,7279
1.3593,4.1319,7278
1.3589,4.1318,7277
1.3601,4.1318,7276
1.3601,4.1317,7275
1.3609,4.1317,7274
1.3618,4.1317,7273
1.3618,4.1317,7272
1.3625,4.1317,7271
1.3632,4.1317,7270
1.364,4.1316,7269
1.3636,4.1318,7268
1.3644,4.1316,7267
1.3653,4.1317,7266
1.3653,4.1315,7265
1.3661,4.1315,7264
1.3667,4.1313,7263
1.3665,4.1315,7262
1.368,4.1315,7261
1.3675,4.1314,7260
1.3681,4.1312,7259
1.3696,4.1312,7258
1.369,4.1313,7257
1.3692,4.1313,7256
1.3712,4.1312,7255
1.37,4.1315,7254
1.3712,4.1311,7253
1.373,4.1311,7252
1.3713,4.1311,7251
1.3728,4.1311,7250
1.374,4.1311,7249
1.3733,4.1311,7248
1.3754,4.1312,7247
1.3742,4.1312,7246
1.3745,4.1313,7245
1.3771,4.1313,7244
1.3758,4.1312,7243
1.3763,4.1314,7242
1.3787,4.1313,7241
1.3764,4.1311,7240
1.3783,4.1311,7239
1.3804,4.1311,7238
1.3782,4.1311,7237
1.3797,4.1309,7236
1.3811,4.131,7235
1.3799,4.1309,7234
1.3825,4.1309,7233
1.3811,4.1309,7232
1.3818,4.1308,7231
1.3842,4.1309,7230
1.3827,4.1309,7229
1.3829,4.1308,7228
1.3859,4.1307,7227
1.3843,4.1307,7226
1.3848,4.1307,7225
1.3872,4.1306,7224
1.3847,4.1305,7223
1.3868,4.1304,7222
1.3881,4.1306,7221
1.3874,4.1304,7220
1.3882,4.1304,7219
1.3897,4.1305,7218
1.3884,4.1304,7217
1.3911,4.1303,7216
1.3898,4.1304,7215
1.3904,4.1303,7214
1.3926,4.1302,7213
1.3913,4.13,7212
1.3915,4.1301,7211
1.3941,4.13,7210
1.3924,4.13,7209
1.3938,4.1299,7208
1.3949,4.13,7207
1.3941,4.13,7206
1.3954,4.1299,7205
1.3964,4.1298,7204
1.3962,4.1297,7203
1.3978,4.1297,7202
1.3971,4.1296,7201
1.3973,4.1295,7200
1.3992,4.1296,7199
1.3988,4.1294,7198
1.3993,4.1294,7197
1.4007,4.1293,7196
1.3999,4.1293,7195
1.4009,4.1294,7194
1.4018,4.1293,7193
1.402,4.1292,7192
1.4037,4.1291,7191
1.4029,4.129,7190
1.4038,4.1289,7189
1.4039,4.1289,7188
1.4046,4.129,7187
1.4053,4.1289,7186
1.405,4.1289,7185
1.406,4.1289,7184
1.4071,4.1288,7183
1.4063,4.1287,7182
1.4076,4.1286,7181
1.4082,4.1286,7180
1.4076,4.1283,7179
1.4095,4.1283,7178
1.4099,4.1282,7177
1.4089,4.1284,7176
1.4107,4.1281,7175
1.4103,4.1282,7174
1.4114,4.1279,7173
1.4129,4.1281,7172
1.4111,4.128,7171
1.413,4.128,7170
1.4143,4.128,7169
1.4127,4.1279,7168
1.4153,4.1279,7167
1.4154,4.1276,7166
1.4142,4.1277,7165
1.4163,4.1275,7164
1.417,4.1275,7163
1.4153,4.1275,7162
1.4182,4.1275,7161
1.4171,4.1275,7160
1.4184,4.1273,7159
1.42,4.1274,7158
1.4177,4.1274,7157
1.42,4.1272,7156
1.4219,4.1271,7155
1.4193,4.1271,7154
1.422,4.1269,7153
1.4225,4.1268,7152
1.4209,4.1268,7151
1.4238,4.1267,7150
1.4239,4.1267,7149
1.4225,4.1267,7148
1.4246,4.1268,7147
1.4239,4.1266,7146
1.4254,4.1266,7145
1.4274,4.1264,7144
1.4249,4.1265,7143
1.4269,4.1264,7142
1.4285,4.1264,7141
1.4264,4.1262,7140
1.4293,4.1262,7139
1.4294,4.1261,7138
1.4281,4.126,7137
1.4304,4.1259,7136
1.4309,4.1259,7135
1.4296,4.1259,7134
1.4321,4.1258,7133
1.431,4.1258,7132
1.4324,4.1257,7131
1.4336,4.1257,7130
1.4324,4.1256,7129
1.4339,4.1255,7128
1.4355,4.1254,7127
1.4339,4.1254,7126
1.4357,4.1254,7125
1.4362,4.1254,7124
1.4357,4.1253,7123
1.4374,4.1254,7122
1.4377,4.1253,7121
1.4374,4.1252,7120
1.4386,4.125,7119
1.4386,4.125,7118
1.4395,4.1247,7117
1.4404,4.1248,7116
1.4403,4.1247,7115
1.441,4.1246,7114
1.4428,4.1245,7113
1.4424,4.1245,7112
1.4421,4.1244,7111
1.4429,4.1243,7110
1.4439,4.1243,7109
1.4436,4.1243,7108
1.4443,4.1242,7107
1.4453,4.1239,7106
1.4451,4.1239,7105
1.4466,4.1237,7104
1.4461,4.1236,7103
1.4466,4.1236,7102
1.4481,4.1234,7101
1.4474,4.1235,7100
1.4476,4.1234,7099
1.4498,4.1232,7098
1.4485,4.1232,7097
1.4497,4.1231,7096
1.4513,4.1231,7095
1.4496,4.1229,7094
1.4513,4.1228,7093
1.4526,4.1227,7092
1.452,4.1225,7091
1.4539,4.1224,7090
1.4528,4.1223,7089
1.4531,4.1223,7088
1.4556,4.1221,7087
1.4543,4.1223,7086
1.4548,4.1222,7085
1.4573,4.1221,7084
1.4548,4.122,7083
1.4567,4.1218,7082
1.4588,4.1216,7081
1.4567,4.1216,7080
1.4584,4.1213,7079
1.4597,4.1212,7078
1.4585,4.1212,7077
1.4612,4.121,7076
1.4597,4.1209,7075
1.4603,4.1208,7074
1.4627,4.1207,7073
1.4612,4.1207,7072
1.4613,4.1207,7071
1.4644,4.1206,7070
1.4623,4.1205,7069
1.4637,4.1203,7068
1.466,4.1202,7067
1.4634,4.1201,7066
1.4652,4.1199,7065
1.4667,4.1196,7064
1.4658,4.1196,7063
1.4682,4.1195,7062
1.4667,4.1194,7061
1.467,4.1194,7060
1.4696,4.1192,7059
1.4683,4.1191,7058
1.4688,4.1191,7057
1.4711,4.1189,7056
1.469,4.1187,7055
1.4709,4.1186,7054
1.4726,4.1184,7053
1.471,4.1184,7052
1.4723,4.118,7051
1.4736,4.1181,7050
1.4727,4.1182,7049
1.4747,4.118,7048
1.4741,4.1181,7047
1.4747,4.1178,7046
1.4763,4.1176,7045
1.4757,4.1175,7044
1.4761,4.1174,7043
1.4777,4.1171,7042
1.477,4.1169,7041
1.4781,4.1168,7040
1.4791,4.1166,7039
1.4787,4.1166,7038
1.4796,4.1166,7037
1.4802,4.1163,7036
1.4815,4.1161,7035
1.4808,4.116,7034
1.4816,4.116,7033
1.4824,4.1158,7032
1.4824,4.1157,7031
1.4831,4.1155,7030
1.4841,4.1152,7029
1.4834,4.1151,7028
1.4849,4.115,7027
1.4852,4.1149,7026
1.4845,4.1146,7025
1.4863,4.1148,7024
1.4867,4.1147,7023
1.4861,4.1146,7022
1.488,4.1143,7021
1.4882,4.1142,7020
1.4876,4.114,7019
1.4892,4.1138,7018
1.4888,4.1137,7017
1.4899,4.1135,7016
1.4917,4.1134,7015
1.4897,4.1132,7014
1.4914,4.1132,7013
1.4929,4.1128,7012
1.4909,4.1128,7011
1.4938,4.1126,7010
1.4939,4.1126,7009
1.4927,4.1122,7008
1.4949,4.1123,7007
1.4954,4.1119,7006
1.4941,4.1118,7005
1.4968,4.1115,7004
1.4955,4.1113,7003
1.497,4.1111,7002
1.4984,4.111,7001
1.4963,4.1111,7000
1.4984,4.1107,6999
1.5005,4.1106,6998
1.4979,4.1104,6997
1.5006,4.1102,6996
1.501,4.11,6995
1.4995,4.1099,6994
1.5023,4.1097,6993
1.5025,4.1096,6992
1.5009,4.1095,6991
1.5034,4.109,6990
1.5025,4.1088,6989
1.504,4.1088,6988
1.5058,4.1086,6987
1.5032,4.1085,6986
1.5054,4.1082,6985
1.5069,4.1081,6984
1.505,4.1079,6983
1.5079,4.1075,6982
1.5078,4.1075,6981
1.5066,4.1074,6980
1.5087,4.1071,6979
1.5093,4.107,6978
1.5081,4.1067,6977
1.5105,4.1065,6976
1.5097,4.1062,6975
1.5109,4.106,6974
1.5121,4.106,6973
1.5107,4.1057,6972
1.5125,4.1055,6971
1.5139,4.1053,6970
1.5125,4.105,6969
1.5143,4.1048,6968
1.5148,4.1045,6967
1.5141,4.1043,6966
1.5159,4.1042,6965
1.5162,4.104,6964
1.5159,4.1038,6963
1.517,4.1034,6962
1.5172,4.1033,6961
1.518,4.1031,6960
1.5189,4.1031,6959
1.5187,4.1027,6958
1.5198,4.1025,6957
1.5199,4.1021,6956
1.5209,4.1022,6955
1.5205,4.1017,6954
1.5214,4.1016,6953
1.5222,4.1013,6952
1.5222,4.1009,6951
1.5228,4.1007,6950
1.5237,4.1006,6949
1.5234,4.1005,6948
1.5251,4.1002,6947
1.5245,4.1001,6946
1.5251,4.0997,6945
1.5268,4.0995,6944
1.526,4.0991,6943
1.5262,4.099,6942
1.5283,4.0986,6941
1.5269,4.0984,6940
1.5281,4.0981,6939
1.5294,4.0978,6938
1.5285,4.0977,6937
1.5297,4.0973,6936
1.5309,4.0973,6935
1.5303,4.097,6934
1.5326,4.0968,6933
1.5312,4.0964,6932
1.5314,4.0963,6931
1.5342,4.0958,6930
1.5326,4.0956,6929
1.5332,4.0951,6928
1.5357,4.0948,6927
1.5332,4.0946,6926
1.5351,4.0945,6925
1.5365,4.0941,6924
1.5359,4.094,6923
1.5367,4.0936,6922
1.5382,4.0933,6921
1.5368,4.093,6920
1.5397,4.0927,6919
1.538,4.0927,6918
1.5385,4.0923,6917
1.5412,4.0919,6916
1.5396,4.0916,6915
1.5398,4.0913,6914
1.5428,4.0909,6913
1.5406,4.0906,6912
1.5421,4.0903,6911
1.5443,4.0902,6910
1.5417,4.0899,6909
1.5437,4.0894,6908
1.5451,4.0891,6907
1.5444,4.0888,6906
1.5466,4.0885,6905
1.5451,4.0881,6904
1.5454,4.0879,6903
1.5479,4.0874,6902
1.5467,4.0873,6901
1.5473,4.087,6900
1.5495,4.0865,6899
1.5475,4.0862,6898
1.5491,4.0858,6897
1.5509,4.0856,6896
1.5494,4.0851,6895
1.5508,4.0848,6894
1.5519,4.0845,6893
1.5512,4.0842,6892
1.5532,4.0837,6891
1.5525,4.0835,6890
1.5531,4.083,6889
1.5545,4.083,6888
1.554,4.0824,6887
1.5544,4.0822,6886
1.5559,4.0818,6885
1.5557,4.0814,6884
1.5564,4.0811,6883
1.5575,4.0805,6882
1.5572,4.0804,6881
1.558,4.0798,6880
1.5593,4.0796,6879
1.559,4.0794,6878
1.5593,4.0789,6877
1.5599,4.0784,6876
1.5607,4.078,6875
1.5606,4.0777,6874
1.5615,4.0773,6873
1.5623,4.0769,6872
1.5617,4.0765,6871
1.5633,4.0762,6870
1.5636,4.0758,6869
1.5632,4.0753,6868
1.5647,4.0748,6867
1.5651,4.0744,6866
1.5643,4.0741,6865
1.5664,4.0736,6864
1.5656,4.0733,6863
1.5668,4.0728,6862
1.5677,4.0726,6861
1.567,4.072,6860
1.5684,4.0716,6859
1.5701,4.0712,6858
1.568,4.0708,6857
1.5703,4.0703,6856
1.5708,4.0699,6855
1.5695,4.0695,6854
1.5722,4.069,6853
1.5723,4.0683,6852
1.571,4.0681,6851
1.5729,4.0678,6850
1.5723,4.0672,6849
1.5738,4.0668,6848
1.5753,4.0663,6847
1.574,4.0659,6846
1.5753,4.0654,6845
1.577,4.0648,6844
1.5748,4.0644,6843
1.5778,4.0638,6842
1.5778,4.0635,6841
1.5763,4.0629,6840
1.579,4.0625,6839
1.5794,4.0621,6838
1.578,4.0616,6837
1.5808,4.0611,6836
1.5793,4.0606,6835
1.5808,4.0598,6834
1.5818,4.0595,6833
1.581,4.0589,6832
1.5822,4.0586,6831
1.5843,4.0579,6830
1.5818,4.0574,6829
1.5843,4.0568,6828
1.5848,4.0563,6827
1.5834,4.056,6826
1.5861,4.0553,6825
1.5864,4.055,6824
1.5851,4.0544,6823
1.5872,4.0539,6822
1.5865,4.0532,6821
1.5879,4.0525,6820
1.589,4.0519,6819
1.5881,4.0515,6818
1.5894,4.051,6817
1.5904,4.0503,6816
1.5894,4.0499,6815
1.5915,4.0492,6814
1.5917,4.0488,6813
1.5911,4.0481,6812
1.5926,4.0475,6811
1.5932,4.047,6810
1.5928,4.0464,6809
1.5943,4.0457,6808
1.5947,4.045,6807
1.5945,4.0445,6806
1.5957,4.0437,6805
1.5957,4.0432,6804
1.5964,4.0426,6803
1.5973,4.042,6802
1.5987,4.0415,6801
1.5979,4.041,6800
1.5983,4.0402,6799
1.5993,4.0395,6798
1.599,4.039,6797
1.6,4.0385,6796
1.6008,4.0377,6795
1.6006,4.037,6794
1.6013,4.0364,6793
1.6022,4.0359,6792
1.6019,4.0352,6791
1.6036,4.0345,6790
1.6029,4.0339,6789
1.6034,4.0331,6788
1.6053,4.0326,6787
1.6042,4.032,6786
1.6046,4.031,6785
1.6068,4.0303,6784
1.6054,4.0297,6783
1.6068,4.029,6782
1.6079,4.0283,6781
1.6069,4.0277,6780
1.6081,4.0268,6779
1.6093,4.0262,6778
1.6088,4.0255,6777
1.6111,4.0247,6776
1.6097,4.0241,6775
1.6098,4.0233,6774
1.6126,4.0226,6773
1.6112,4.022,6772
1.6118,4.0211,6771
1.6143,4.0202,6770
1.6117,4.0196,6769
1.6137,4.0186,6768
1.6152,4.018,6767
1.6142,4.017,6766
1.6153,4.0162,6765
1.6166,4.0155,6764
1.6153,4.0148,6763
1.6181,4.0139,6762
1.6167,4.0133,6761
1.6172,4.0123,6760
1.6198,4.0114,6759
1.6182,4.0107,6758
1.6182,4.0097,6757
1.6212,4.009,6756
1.6191,4.0082,6755
1.6206,4.0072,6754
1.6223,4.0065,6753
1.6209,4.0055,6752
1.6222,4.0047,6751
1.6236,4.0038,6750
1.6228,4.003,6749
1.6251,4.0022,6748
1.6238,4.0014,6747
1.6239,4.0004,6746
1.6266,3.9994,6745
1.6253,3.9989,6744
1.626,3.9978,6743
1.6279,3.9967,6742
1.6261,3.9961,6741
1.6278,3.995,6740
1.6289,3.9939,6739
1.6286,3.9931,6738
1.6293,3.9921,6737
1.6304,3.991,6736
1.6298,3.99,6735
1.6317,3.9889,6734
1.6312,3.9882,6733
1.6317,3.9872,6732
1.6332,3.9861,6731
1.6327,3.9852,6730
1.633,3.9841,6729
1.6346,3.9832,6728
1.6341,3.9821,6727
1.6349,3.9813,6726
1.6357,3.9803,6725
1.6358,3.9793,6724
1.6378,3.9782,6723
1.6368,3.9773,6722
1.6377,3.9763,6721
1.6377,3.9752,6720
1.6385,3.9741,6719
1.6395,3.9731,6718
1.6388,3.9721,6717
1.64,3.9713,6716
1.6409,3.97,6715
1.6401,3.969,6714
1.642,3.9677,6713
1.6422,3.9668,6712
1.6415,3.9656,6711
1.6432,3.9645,6710
1.6437,3.9634,6709
1.6429,3.9623,6708
1.645,3.9611,6707
1.6443,3.9601,6706
1.6454,3.9587,6705
1.6461,3.9575,6704
1.6457,3.9565,6703
1.6468,3.9555,6702
1.6487,3.9543,6701
1.6465,3.9532,6700
1.6489,3.9519,6699
1.6494,3.9505,6698
1.648,3.9493,6697
1.6508,3.9479,6696
1.651,3.9469,6695
1.6493,3.9457,6694
1.6518,3.9443,6693
1.6509,3.9433,6692
1.6525,3.9418,6691
1.6537,3.9405,6690
1.6523,3.9395,6689
1.6539,3.9381,6688
1.6554,3.9369,6687
1.6532,3.9357,6686
1.6564,3.9343,6685
1.6564,3.933,6684
1.6549,3.9318,6683
1.6575,3.9301,6682
1.6579,3.9288,6681
1.6564,3.9277,6680
1.6592,3.926,6679
1.6579,3.9249,6678
1.6593,3.9235,6677
1.6603,3.9222,6676
1.6593,3.9208,6675
1.661,3.9191,6674
1.6628,3.9178,6673
1.6604,3.9166,6672
1.6629,3.9149,6671
1.6633,3.9136,6670
1.6621,3.9121,6669
1.6647,3.9105,6668
1.6649,3.9093,6667
1.6635,3.9078,6666
1.6657,3.9063,6665
1.6651,3.9048,6664
1.6664,3.903,6663
1.6676,3.9016,6662
1.6669,3.9001,6661
1.6679,3.8984,6660
1.6692,3.8968,6659
1.6679,3.8952,6658
1.67,3.8935,6657
1.6703,3.8922,6656
1.6696,3.8907,6655
1.6712,3.889,6654
1.6717,3.8874,6653
1.6714,3.8858,6652
1.6728,3.884,6651
1.6727,3.8826,6650
1.6735,3.8808,6649
1.6742,3.8792,6648
1.6743,3.8775,6647
1.6758,3.8758,6646
1.6753,3.8744,6645
1.6762,3.8727,6644
1.676,3.8709,6643
1.6768,3.8693,6642
1.6779,3.8675,6641
1.6774,3.8659,6640
1.6784,3.8639,6639
1.6794,3.8622,6638
1.6792,3.8604,6637
1.6806,3.8585,6636
1.68,3.8569,6635
1.6803,3.8551,6634
1.6821,3.8532,6633
1.6814,3.8514,6632
1.682,3.8498,6631
1.6838,3.8477,6630
1.6822,3.8461,6629
1.6838,3.8439,6628
1.6855,3.8419,6627
1.684,3.8402,6626
1.6853,3.8381,6625
1.6867,3.8362,6624
1.6855,3.8342,6623
1.6881,3.8323,6622
1.6867,3.8305,6621
1.6874,3.8283,6620
1.6896,3.8262,6619
1.6882,3.8246,6618
1.6883,3.8225,6617
1.6913,3.8204,6616
1.6891,3.8186,6615
1.6908,3.8164,6614
1.6929,3.814,6613
1.6903,3.8123,6612
1.6923,3.8099,6611
1.6937,3.8078,6610
1.6928,3.8057,6609
1.6952,3.8036,6608
1.6935,3.8018,6607
1.6938,3.7992,6606
1.6967,3.7969,6605
1.6952,3.7951,6604
1.6956,3.7929,6603
1.6985,3.7904,6602
1.6967,3.7886,6601
1.6968,3.786,6600
1.6999,3.7834,6599
1.6978,3.7815,6598
1.6993,3.7788,6597
1.7006,3.7766,6596
1.6992,3.7745,6595
1.7007,3.7718,6594
1.7022,3.7695,6593
1.7015,3.7674,6592
1.7035,3.7648,6591
1.7023,3.7628,6590
1.7024,3.7603,6589
1.705,3.7575,6588
1.7039,3.7553,6587
1.7044,3.7528,6586
1.7064,3.7501,6585
1.7045,3.7479,6584
1.7062,3.745,6583
1.7074,3.7424,6582
1.707,3.7399,6581
1.7078,3.7375,6580
1.7088,3.735,6579
1.7085,3.7324,6578
1.7103,3.7296,6577
1.7097,3.7271,6576
1.7103,3.7242,6575
1.7117,3.7213,6574
1.7113,3.7188,6573
1.7117,3.7161,6572
1.713,3.7134,6571
1.7127,3.7109,6570
1.7135,3.708,6569
1.7149,3.7053,6568
1.7148,3.7027,6567
1.7152,3.7,6566
1.7152,3.6976,6565
1.7163,3.6945,6564
1.7162,3.6919,6563
1.717,3.6889,6562
1.7182,3.686,6561
1.7172,3.6833,6560
1.7185,3.68,6559
1.7194,3.6775,6558
1.7186,3.6746,6557
1.7206,3.6716,6556
1.7208,3.6689,6555
1.72,3.666,6554
1.7217,3.6626,6553
1.7224,3.6599,6552
1.7215,3.6567,6551
1.7237,3.6534,6550
1.7227,3.6507,6549
1.7238,3.6474,6548
1.7252,3.6444,6547
1.7235,3.6416,6546
1.7255,3.6378,6545
1.7272,3.6348,6544
1.7249,3.6321,6543
1.7274,3.6286,6542
1.7279,3.6254,6541
1.7266,3.6224,6540
1.7293,3.6185,6539
1.7293,3.6154,6538
1.7281,3.6122,6537
1.7303,3.6084,6536
1.7295,3.6053,6535
1.7309,3.6013,6534
1.7329,3.5978,6533
1.7303,3.5952,6532
1.7326,3.5913,6531
1.7341,3.5879,6530
1.7319,3.5848,6529
1.7349,3.5809,6528
1.7351,3.5776,6527
1.7334,3.5744,6526
1.7359,3.57,6525
1.7364,3.5669,6524
1.735,3.5634,6523
1.7377,3.5592,6522
1.7366,3.5559,6521
1.7379,3.5518,6520
1.7392,3.5482,6519
1.7374,3.545,6518
1.7395,3.5404,6517
1.7413,3.5367,6516
1.7391,3.5335,6515
1.7413,3.529,6514
1.742,3.5253,6513
1.7406,3.5216,6512
1.743,3.5172,6511
1.7434,3.5136,6510
1.742,3.5098,6509
1.7443,3.5052,6508
1.7437,3.5013,6507
1.7449,3.4968,6506
